BS_Call,Last_Call,Bid_Call,Ask_Call,Change_Call,Delta_Call,IV_Call,Vol_Call,OpenInt_Call,Strike,Last_Put,Bid_Put,Ask_Put,Change_Put,Delta_Put,IV_Put,Vol_Put,OpenInt_Put,BS_Put
BS,0.00,34.40,38.40,0.00,0.996,0.423,0,0,45.00,0.00,0.00,2.20,0.00,-0.004,0.423,0,0,BS
BS,0.00,31.70,36.30,0.00,0.995,0.423,0,0,47.50,0.00,0.00,2.20,0.00,-0.005,0.423,0,0,BS
BS,0.00,29.50,33.90,0.00,0.993,0.422,0,0,50.00,0.00,0.00,2.25,0.00,-0.007,0.422,0,0,BS
BS,0.00,24.60,28.70,0.00,0.988,0.418,0,0,55.00,0.00,0.00,2.35,0.00,-0.012,0.418,0,0,BS
BS,0.00,20.30,23.00,0.00,0.973,0.408,0,0,60.00,0.00,0.00,2.50,0.00,-0.027,0.408,0,0,BS
BS,0.00,15.10,19.10,0.00,0.913,0.369,0,0,65.00,0.00,0.45,1.10,0.00,-0.087,0.369,0,0,BS
BS,0.00,10.80,13.60,0.00,0.849,0.333,0,0,70.00,1.30,0.70,1.25,0.00,-0.151,0.333,2,0,BS
BS,0.00,9.10,11.90,0.00,0.811,0.306,0,0,72.50,1.35,1.00,1.55,0.00,-0.189,0.306,0,1,BS
BS,0.00,8.00,8.80,0.00,0.756,0.295,0,0,75.00,1.90,1.45,2.20,0.30,-0.244,0.295,1,4,BS
BS,0.00,6.20,7.60,0.00,0.684,0.280,0,0,77.50,2.55,2.35,2.60,0.40,-0.316,0.280,1,12,BS
BS,0.00,4.60,5.10,0.00,0.593,0.267,0,0,80.00,3.40,3.20,3.60,0.50,-0.407,0.267,4,7,BS
BS,3.50,3.10,4.00,-0.70,0.489,0.251,9,3,82.50,4.43,2.65,4.60,0.03,-0.511,0.251,10,3,BS
BS,2.70,2.20,2.50,-0.30,0.385,0.241,1,5,85.00,0.00,5.40,6.20,0.00,-0.615,0.241,0,0,BS
BS,1.65,1.25,1.70,0.00,0.295,0.235,0,1,87.50,0.00,7.10,8.00,0.00,-0.705,0.235,0,0,BS
BS,1.30,0.65,1.20,0.00,0.222,0.239,0,2,90.00,0.00,7.50,11.50,0.00,-0.778,0.239,0,0,BS
